"LEVEL3_NAM" "LEVEL3_COD" "lon" "lat"
"1" "Alberta" "ABT" -114.405367354602 54.9847510020058
"2" "Afghanistan" "AFG" 65.9480380676207 33.8224934134329
"3" "Argentina Northeast" "AGE" -61.1530133450735 -32.4275908317732
"4" "Argentina South" "AGS" -68.7424779874142 -44.1203377173768
"5" "Argentina Northwest" "AGW" -66.2710873921308 -29.0112713528068
"6" "Alabama" "ALA" -86.8307575019411 32.7810083327984
"7" "Albania" "ALB" 20.0703516412535 41.1348792864945
"8" "Aldabra" "ALD" 46.3834486694137 -9.41279851551868
"9" "Algeria" "ALG" 2.64624213248222 28.0603436903398
"10" "Altay" "ALT" 84.2117669048438 51.9697475227362
"11" "Aleutian Is." "ALU" -173.379901283108 52.9773475691974
"12" "Amur" "AMU" 127.876629618039 53.3615740960998
"13" "Andaman Is." "AND" 92.7802576222907 12.2773651411881
"14" "Angola" "ANG" 17.5671682464827 -12.3134648643384
"15" "Antarctica" "ANT" 82.0700401754393 -84.8369091670275
"16" "Arizona" "ARI" -111.652860620975 34.2790120363959
"17" "Arkansas" "ARK" -92.4461105468922 34.8948450932431
"18" "Aruba" "ARU" -69.9771154573412 12.5166867335508
"19" "Ascension" "ASC" -14.3632866615493 -7.93807961759832
"20" "Alaska" "ASK" -152.187005598307 64.0331501765192
"21" "Amsterdam-St.Paul Is." "ASP" 77.5328969771282 -37.977571597354
"22" "Assam" "ASS" 92.8462151278596 25.4765323231229
"23" "Antipodean Is." "ATP" 167.956342875771 -51.0393334495311
"24" "Austria" "AUT" 14.1143172559275 47.5989806961365
"25" "Azores" "AZO" -27.0416710478374 38.2793033086327
"26" "Bahamas" "BAH" -76.460926238979 24.157456324993
"27" "Baleares" "BAL" 2.8943229682454 39.5604562402956
"28" "Bangladesh" "BAN" 90.2798783351897 23.8261120468181
"29" "Benin" "BEN" 2.34203682832963 9.64150171113734
"30" "Bermuda" "BER" -64.7564208329742 32.313499549407
"31" "Belgium" "BGM" 4.78354970599781 50.5750698773333
"32" "Bismarck Archipelago" "BIS" 150.627279862057 -4.93702045005004
"33" "Burkina" "BKN" -1.74638934552475 12.2791434151511
"34" "Belarus" "BLR" 28.0292380464148 53.528498441283
"35" "Baltic States" "BLT" 24.443380939844 56.6284016792129
"36" "Belize" "BLZ" -88.6837778719017 17.2165140939639
"37" "Bolivia" "BOL" -64.6837403198383 -16.6890582983859
"38" "Borneo" "BOR" 114.197297491289 0.866223058488683
"39" "Botswana" "BOT" 23.8252371527442 -22.1632217729834
"40" "Bouvet I." "BOU" 3.41246695577228 -54.4217856447531
"41" "British Columbia" "BRC" -124.360403923384 54.5591362238668
"42" "Buryatiya" "BRY" 109.262222665233 53.5483420047333
"43" "Bulgaria" "BUL" 25.2246110844703 42.7637746987497
"44" "Burundi" "BUR" 29.8869064756195 -3.35612335785999
"45" "Brazil West-Central" "BZC" -54.3144387307621 -15.2597896158407
"46" "Brazil Northeast" "BZE" -41.7344709661264 -8.61098320642589
"47" "Brazil Southeast" "BZL" -45.4432010391471 -19.7127439937637
"48" "Brazil North" "BZN" -59.2533438147441 -4.64310000068736
"49" "Brazil South" "BZS" -52.2287962195013 -27.5209196733452
"50" "Cabinda" "CAB" 12.462434755684 -5.04107243828576
"51" "Central African Republic" "CAF" 20.4762981646313 6.57550096712122
"52" "California" "CAL" -119.448781475002 37.1774386480679
"53" "Cayman Is." "CAY" -80.8304772545931 19.4323819233296
"54" "Cambodia" "CBD" 104.919512471676 12.7134544531948
"55" "Chagos Archipelago" "CGS" 72.2892255755955 -7.08073347120904
"56" "Chad" "CHA" 18.6544293689137 15.3026758481345
"57" "China South-Central" "CHC" 104.561648961746 28.4999926458149
"58" "Hainan" "CHH" 109.740635823642 19.2006497262939
"59" "Inner Mongolia" "CHI" 112.797228309661 43.7768973712868
"60" "Manchuria" "CHM" 126.423586498885 45.5994836218755
"61" "China North-Central" "CHN" 109.505001925976 37.5552181750376
"62" "Qinghai" "CHQ" 96.0442805619436 35.779004178087
"63" "China Southeast" "CHS" 114.301834712449 28.0026644742476
"64" "Tibet" "CHT" 88.2083634976294 31.7670226006739
"65" "Xinjiang" "CHX" 85.0488752613212 41.0692374805939
"66" "Cocos (Keeling) I." "CKI" 96.8555952538665 -12.1718841538419
"67" "Chile Central" "CLC" -71.4643022760604 -34.8727705096198
"68" "Colombia" "CLM" -73.0712822756016 3.88960480649974
"69" "Chile North" "CLN" -69.425146865875 -23.8037505401167
"70" "Chile South" "CLS" -72.6541495506587 -47.8240981550408
"71" "Cameroon" "CMN" 12.737552142814 5.67592269694903
"72" "Connecticut" "CNT" -72.7284870647512 41.6259636503163
"73" "Canary Is." "CNY" -15.6814505935183 28.3445560088246
"74" "Colorado" "COL" -105.536681704648 39.0042729444676
"75" "Comoros" "COM" 43.9771078334341 -12.0852027937449
"76" "Congo" "CON" 15.2257673485905 -0.839183897769066
"77" "Cook Is." "COO" -158.793504759945 -20.6849301298632
"78" "Corse" "COR" 9.10486239468795 42.1564256055531
"79" "Costa Rica" "COS" -84.1867879334086 9.97024909081144
"80" "C. American Pacific Is." "CPI" -91.7356641963128 6.62680591907181
"81" "Cape Provinces" "CPP" 22.5110361048017 -30.8947990222988
"82" "Caprivi Strip" "CPV" 23.2585847636004 -17.9233660599099
"83" "Caroline Is." "CRL" 146.735230321731 7.3623895566646
"84" "Crozet Is." "CRZ" 51.6153027673786 -46.3451212548148
"85" "Chita" "CTA" 115.990190516376 52.7728973976261
"86" "Chatham Is." "CTM" -176.503583145126 -43.9593110416447
"87" "Cuba" "CUB" -79.006192678299 21.635208840572
"88" "Cape Verde" "CVI" -24.0992432426659 15.985231729998
"89" "Cyprus" "CYP" 33.2171709990749 35.0434483623678
"90" "Czechoslovakia" "CZE" 16.9509930505421 49.3686328629564
"91" "Delaware" "DEL" -75.5118265665636 38.9960847202561
"92" "Denmark" "DEN" 10.0657514542479 55.9559400882001
"93" "Djibouti" "DJI" 42.5773601329233 11.7494081581186
"94" "Dominican Republic" "DOM" -70.4849514032448 18.8939016892226
"95" "Desventurados Is." "DSV" -79.9604700815913 -26.3116080515803
"96" "East Aegean Is." "EAI" 26.8180038309567 37.762479988585
"97" "Easter Is." "EAS" -109.315527468089 -27.1176830303828
"98" "Ecuador" "ECU" -78.3926172329798 -1.45227133575326
"99" "Egypt" "EGY" 29.556828650908 26.3217592149024
"100" "East Himalaya" "EHM" 92.8951748984087 27.8179711810416
"101" "El Salvador" "ELS" -88.8649037885076 13.7365557251995
"102" "Equatorial Guinea" "EQG" 10.4759767075856 1.5679308007055
"103" "Eritrea" "ERI" 38.863836383405 15.3581412439485
"104" "Ethiopia" "ETH" 39.6249750653303 8.61773190920015
"105" "Falkland Is." "FAL" -59.3697976875779 -51.7414139446026
"106" "Fiji" "FIJ" 178.54460648941 -17.463050332521
"107" "Finland" "FIN" 26.1755961468028 64.2489165953579
"108" "Florida" "FLA" -82.4422604974284 28.6379339976442
"109" "Føroyar" "FOR" -6.86330187859676 62.0484487727981
"110" "France" "FRA" 2.45828671277071 46.5849019239175
"111" "French Guiana" "FRG" -53.2412441044828 3.92369447001355
"112" "Gabon" "GAB" 11.7972643124951 -0.590520964675725
"113" "Galápagos" "GAL" -90.8933468124748 -0.562241398498751
"114" "Gambia, The" "GAM" -15.3858789626754 13.4542974748905
"115" "Georgia" "GEO" -83.4363716681213 32.6428437470767
"116" "Germany" "GER" 10.3722297409525 51.0536325624833
"117" "Gulf of Guinea Is." "GGI" 7.97460407016115 2.36857481244749
"118" "Ghana" "GHA" -1.20722570511692 7.9538682716735
"119" "Gilbert Is." "GIL" 174.32171074073 -0.0759458717231081
"120" "Guinea-Bissau" "GNB" -14.9878569472879 12.0164992848412
"121" "Greenland" "GNL" -41.8067342497094 73.1045561767551
"122" "Great Britain" "GRB" -2.55649626668818 54.0080402033522
"123" "Greece" "GRC" 22.6608374136066 39.3494368306987
"124" "Gulf States" "GST" 53.8776976231255 24.1240693619578
"125" "Guatemala" "GUA" -90.3594605941033 15.6983138449865
"126" "Guinea" "GUI" -10.935507488285 10.4396995749286
"127" "Guyana" "GUY" -58.9720743076166 4.78823573358885
"128" "Haiti" "HAI" -72.6852634151141 18.938492695427
"129" "Hawaii" "HAW" -156.363929979687 20.2747821827823
"130" "Howland-Baker Is." "HBI" -176.57803823715 0.605021392798152
"131" "Heard-McDonald Is." "HMD" 73.4971315582148 -53.0906665644612
"132" "Honduras" "HON" -86.6225427235447 14.8181081286003
"133" "Hungary" "HUN" 19.3969369832972 47.1696184311358
"134" "Iceland" "ICE" -18.6104347635744 64.9999056963207
"135" "Idaho" "IDA" -114.609003616153 44.3600050217839
"136" "Illinois" "ILL" -89.1561380556654 40.0972373491603
"137" "India" "IND" 78.3897523580169 21.6213536923842
"138" "Indiana" "INI" -86.2910643902655 39.8995978504307
"139" "Iowa" "IOW" -93.4921125512777 42.0792892148751
"140" "Ireland" "IRE" -7.91701763832882 53.4102033377778
"141" "Irkutsk" "IRK" 106.004653539199 57.0062868085297
"142" "Iran" "IRN" 54.4676698021997 32.5165603253305
"143" "Iraq" "IRQ" 43.8024601138996 33.0183404997209
"144" "Italy" "ITA" 12.3068269045708 43.4819403681722
"145" "Ivory Coast" "IVO" -5.55536566936389 7.62915571155462
"146" "Jamaica" "JAM" -77.3193155297381 18.1518242873633
"147" "Japan" "JAP" 137.668229807321 37.4745914835332
"148" "Jawa" "JAW" 110.072315303863 -7.29452853094253
"149" "Juan Fernández Is." "JNF" -79.5364865563747 -33.66589203269
"150" "Kamchatka" "KAM" 162.244687077401 58.6436987664436
"151" "Kansas" "KAN" -98.3676728818985 38.4923555197622
"152" "Kazakhstan" "KAZ" 67.2544369464374 48.3653352872791
"153" "Kerguelen" "KEG" 69.4785082196607 -49.2887374108314
"154" "Kenya" "KEN" 37.8579060572789 0.529518080664556
"155" "Kermadec Is." "KER" -177.915123438164 -29.2813753297693
"156" "Kirgizistan" "KGZ" 74.5226585837776 41.4770198525153
"157" "Khabarovsk" "KHA" 136.756867021303 54.1690322416277
"158" "Korea" "KOR" 127.457516373981 38.450422851015
"159" "Krasnoyarsk" "KRA" 95.1386468589915 65.6297795680325
"160" "Kriti" "KRI" 24.9487788648807 35.2465350043199
"161" "Krym" "KRY" 34.3262067824731 45.2756929366411
"162" "Kentucky" "KTY" -85.2989543396224 37.5359092418609
"163" "Kuril Is." "KUR" 150.436280703138 46.8882143531753
"164" "Kuwait" "KUW" 47.5942470437334 29.3415494046939
"165" "Kazan-retto" "KZN" 141.30867385754 24.9383492710016
"166" "Labrador" "LAB" -61.8924040229235 54.2375397592083
"167" "Laos" "LAO" 103.800633662678 18.4876503425751
"168" "Liberia" "LBR" -9.30559966299508 6.4472402325877
"169" "Lebanon-Syria" "LBS" 38.3494696128993 34.9518663944715
"170" "Libya" "LBY" 18.0808282139815 27.0306038183627
"171" "Laccadive Is." "LDV" 72.8847596000372 9.90262967562177
"172" "Leeward Is. AB Ant" "LEE" -62.2813489433616 16.9204167941726
"173" "Lesotho" "LES" 28.2445688783854 -29.5800341904621
