LEVEL3_COD,lon,lat,LEVEL3_NAM,climate_zone,realm,total_sp,big_sp,non_big_sp,prop_big
ABT,-114.4053674,54.98475101,Alberta,Cold,Holarctic,1497,382,1115,0.255177021
AFG,65.94803807,33.82249341,Afghanistan,Arid,Holarctic,4368,1094,3274,0.250457875
AGE,-61.15301332,-32.42759088,Argentina Northeast,Temperate,Neotropical,5055,802,4253,0.158654797
AGS,-68.74247797,-44.12033776,Argentina South,Arid,Chile-Patagonian,1983,370,1613,0.186585981
AGW,-66.27108737,-29.0112714,Argentina Northwest,Arid,Neotropical,5106,931,4175,0.182334508
ALA,-86.83075751,32.78100833,Alabama,Temperate,Holarctic,2846,497,2349,0.174631061
ALB,20.07035164,41.13487928,Albania,Temperate,Holarctic,3215,575,2640,0.178849145
ALD,46.38344867,-9.41279852,Aldabra,Tropical,African,196,32,164,0.163265306
ALG,2.646242132,28.06034369,Algeria,Arid,Saharo-Arabian,3434,470,2964,0.136866628
ALT,84.2117669,51.96974752,Altay,Cold,Holarctic,2440,708,1732,0.290163934
ALU,-173.3799013,52.97734756,Aleutian Is.,Polar,Holarctic,349,91,258,0.260744986
AMU,127.8766296,53.36157409,Amur,Cold,Holarctic,1338,324,1014,0.242152466
AND,92.78025764,12.2773651,Andaman Is.,Tropical,Indo-Malesian,1707,223,1484,0.130638547
ANG,17.56716825,-12.31346487,Angola,Tropical,African,5985,951,5034,0.158897243
ANT,82.07004019,-84.83690917,Antarctica,Polar,Chile-Patagonian,3,0,3,0
ARI,-111.6528606,34.27901204,Arizona,Arid,Holarctic,3430,526,2904,0.15335277
ARK,-92.44611055,34.8948451,Arkansas,Temperate,Holarctic,2032,358,1674,0.176181102
ARU,-69.97711547,12.51668674,Aruba,Arid,Neotropical,284,41,243,0.144366197
ASC,-14.36328665,-7.938079613,Ascension,Arid,African,18,8,10,0.444444444
ASK,-152.1870056,64.03315017,Alaska,Cold,Holarctic,1240,359,881,0.289516129
ASP,77.53289698,-37.9775716,Amsterdam-St.Paul Is.,Temperate,African,18,5,13,0.277777778
ASS,92.84621515,25.47653228,Assam,Temperate,Indo-Malesian,5713,1044,4669,0.182741117
ATP,167.9563429,-51.03933345,Antipodean Is.,Polar,Neovozealandic,151,21,130,0.139072848
AUT,14.11431728,47.59898065,Austria,Cold,Holarctic,2728,687,2041,0.251832845
AZO,-27.04167108,38.27930329,Azores,Temperate,Holarctic,476,79,397,0.165966387
BAH,-76.46092627,24.15745639,Bahamas,Tropical,Neotropical,1022,150,872,0.146771037
BAL,2.894322972,39.56045625,Baleares,Arid,Holarctic,1381,182,1199,0.131788559
BAN,90.27987834,23.82611204,Bangladesh,Temperate,Indo-Malesian,3932,588,3344,0.149542218
BEN,2.342036828,9.641501706,Benin,Tropical,African,2275,301,1974,0.132307692
BER,-64.75642079,32.31349954,Bermuda,Temperate,Holarctic,178,34,144,0.191011236
BGM,4.783549726,50.57506983,Belgium,Temperate,Holarctic,1376,286,1090,0.207848837
BIS,150.6272799,-4.937020455,Bismarck Archipelago,Tropical,Indo-Malesian,1374,326,1048,0.237263464
BKN,-1.746389346,12.27914341,Burkina,Arid,African,1829,287,1542,0.156916348
BLR,28.02923805,53.52849844,Belarus,Cold,Holarctic,1333,279,1054,0.209302326
BLT,24.44338096,56.62840163,Baltic States,Cold,Holarctic,1314,322,992,0.245053272
BLZ,-88.68377787,17.21651409,Belize,Tropical,Neotropical,3337,716,2621,0.21456398
BOL,-64.68374032,-16.6890583,Bolivia,Tropical,Neotropical,13555,2922,10633,0.215566212
BOR,114.1972975,0.866223014,Borneo,Tropical,Indo-Malesian,10819,2180,8639,0.201497366
BOT,23.82523715,-22.16322178,Botswana,Arid,African,2443,349,2094,0.142857143
BRC,-124.3604039,54.55913623,British Columbia,Cold,Holarctic,2123,525,1598,0.247291569
BRY,109.2622227,53.548342,Buryatiya,Cold,Holarctic,1680,424,1256,0.252380952
BUL,25.22461108,42.76377469,Bulgaria,Temperate,Holarctic,3621,761,2860,0.210162938
BUR,29.88690648,-3.356123363,Burundi,Tropical,African,2625,442,2183,0.168380952
BZC,-54.31443871,-15.25978966,Brazil West-Central,Tropical,Neotropical,9457,1605,7852,0.169715555
BZE,-41.73447095,-8.610983251,Brazil Northeast,Tropical,Neotropical,10936,1830,9106,0.167337235
BZL,-45.44320102,-19.71274404,Brazil Southeast,Tropical,Neotropical,17080,3475,13605,0.203454333
BZN,-59.25334379,-4.643100045,Brazil North,Tropical,Neotropical,12885,2190,10695,0.169965076
BZS,-52.2287962,-27.52091972,Brazil South,Temperate,Neotropical,7918,1624,6294,0.205102299
CAB,12.46243476,-5.041072437,Cabinda,Tropical,African,937,74,863,0.078975454
CAF,20.47629816,6.575500962,Central African Republic,Tropical,African,3557,456,3101,0.12819792
CAL,-119.4487815,37.17743865,California,Temperate,Holarctic,5443,845,4598,0.155245269
CAY,-80.83047683,19.43238206,Cayman Is.,Tropical,Neotropical,533,82,451,0.153846154
CBD,104.9195125,12.71345445,Cambodia,Tropical,Indo-Malesian,3692,488,3204,0.132177681
CGS,72.2892253,-7.080733154,Chagos Archipelago,Tropical,Indo-Malesian,46,5,41,0.108695652
CHA,18.65442937,15.30267584,Chad,Arid,African,2109,321,1788,0.152204836
CHC,104.561649,28.4999926,China South-Central,Temperate,Holarctic,18115,4459,13656,0.2461496
CHH,109.7406358,19.20064972,Hainan,Tropical,Indo-Malesian,3186,487,2699,0.152856246
CHI,112.7972283,43.77689733,Inner Mongolia,Arid,Holarctic,2626,631,1995,0.240289414
CHM,126.4235865,45.59948358,Manchuria,Cold,Holarctic,2308,520,1788,0.225303293
CHN,109.5050019,37.55521813,China North-Central,Cold,Holarctic,5101,1163,3938,0.227994511
CHQ,96.04428056,35.77900418,Qinghai,Polar,Holarctic,2113,574,1539,0.27165168
CHS,114.3018347,28.00266443,China Southeast,Temperate,Holarctic,10171,1843,8328,0.181201455
CHT,88.2083635,31.7670226,Tibet,Polar,Holarctic,6408,1887,4521,0.294475655
CHX,85.04887526,41.06923748,Xinjiang,Arid,Holarctic,3322,881,2441,0.265201686
CKI,96.85559528,-12.17188417,Cocos (Keeling) I.,Tropical,Indo-Malesian,75,15,60,0.2
CLC,-71.46430226,-34.87277055,Chile Central,Temperate,Chile-Patagonian,2886,454,2432,0.157311157
CLM,-73.07128228,3.889604802,Colombia,Tropical,Neotropical,23012,6335,16677,0.275291152
CLN,-69.42514685,-23.80375058,Chile North,Arid,Chile-Patagonian,1710,282,1428,0.164912281
CLS,-72.65414953,-47.8240982,Chile South,Polar,Chile-Patagonian,1256,241,1015,0.191878981
CMN,12.73755214,5.675922692,Cameroon,Tropical,African,6781,934,5847,0.137737797
CNT,-72.72848707,41.62596365,Connecticut,Cold,Holarctic,1534,319,1215,0.207953064
CNY,-15.68145068,28.34455601,Canary Is.,Arid,Saharo-Arabian,1456,151,1305,0.103708791
COL,-105.5366817,39.00427296,Colorado,Arid,Holarctic,2627,546,2081,0.207841644
COM,43.97710785,-12.08520284,Comoros,Tropical,African,904,150,754,0.165929204
CON,15.22576735,-0.839183903,Congo,Tropical,African,3957,477,3480,0.120545868
COO,-158.7935048,-20.68493013,Cook Is.,Tropical,Neovozealandic,212,43,169,0.202830189
COR,9.104862398,42.15642561,Corse,Temperate,Holarctic,1994,333,1661,0.167001003
COS,-84.18678793,9.970249086,Costa Rica,Tropical,Neotropical,9476,2709,6767,0.285880118
CPI,-91.73566418,6.626805874,C. American Pacific Is.,Tropical,Neotropical,148,54,94,0.364864865
CPP,22.51103612,-30.89479907,Cape Provinces,Arid,African,15340,1995,13345,0.130052151
CPV,23.25858476,-17.92336606,Caprivi Strip,Arid,African,601,70,531,0.116472546
CRL,146.7352303,7.362389511,Caroline Is.,Tropical,Indo-Malesian,840,138,702,0.164285714
CRZ,51.61530277,-46.34512126,Crozet Is.,Polar,African,15,4,11,0.266666667
CTA,115.9901905,52.77289739,Chita,Cold,Holarctic,1434,350,1084,0.244072524
CTM,-176.5035831,-43.95931105,Chatham Is.,Temperate,Neovozealandic,248,41,207,0.165322581
CUB,-79.00619268,21.63520884,Cuba,Tropical,Neotropical,5513,1174,4339,0.212951206
CVI,-24.09924326,15.98523176,Cape Verde,Arid,African,496,79,417,0.159274194
CYP,33.217171,35.04344836,Cyprus,Temperate,Holarctic,1568,207,1361,0.132015306
CZE,16.95099307,49.36863282,Czechoslovakia,Cold,Holarctic,2501,618,1883,0.24710116
DEL,-75.51182656,38.9960847,Delaware,Temperate,Holarctic,1404,276,1128,0.196581197
DEN,10.06575145,55.95594008,Denmark,Temperate,Holarctic,1105,228,877,0.206334842
DJI,42.57736013,11.74940815,Djibouti,Arid,Saharo-Arabian,758,106,652,0.139841689
DOM,-70.4849514,18.89390168,Dominican Republic,Tropical,Neotropical,3530,832,2698,0.235694051
DSV,-79.96047008,-26.31160806,Desventurados Is.,Arid,Chile-Patagonian,28,1,27,0.035714286
EAI,26.81800383,37.76247998,East Aegean Is.,Temperate,Holarctic,2036,302,1734,0.148330059
EAS,-109.3155275,-27.11768304,Easter Is.,Tropical,Chile-Patagonian,27,8,19,0.296296296
ECU,-78.39261723,-1.452271341,Ecuador,Tropical,Neotropical,16726,5375,11351,0.321355973
EGY,29.55682865,26.32175921,Egypt,Arid,Saharo-Arabian,1587,197,1390,0.124133585
EHM,92.89517492,27.81797114,East Himalaya,Temperate,Holarctic,6976,1686,5290,0.24168578
ELS,-88.86490379,13.73655572,El Salvador,Tropical,Neotropical,3177,624,2553,0.196411709
EQG,10.47597671,1.567930796,Equatorial Guinea,Tropical,African,1367,130,1237,0.095098756
ERI,38.86383638,15.35814124,Eritrea,Arid,Saharo-Arabian,1809,295,1514,0.163073521
ETH,39.62497507,8.617731904,Ethiopia,Tropical,African,4960,889,4071,0.179233871
FAL,-59.36979771,-51.74141395,Falkland Is.,Temperate,Chile-Patagonian,156,35,121,0.224358974
FIJ,178.5446065,-17.46305033,Fiji,Tropical,Neovozealandic,1373,351,1022,0.255644574
FIN,26.17559615,64.24891659,Finland,Cold,Holarctic,1413,602,811,0.426043878
FLA,-82.44226049,28.637934,Florida,Temperate,Holarctic,2931,463,2468,0.157966564
FOR,-6.863301894,62.04844878,Føroyar,Temperate,Holarctic,290,77,213,0.265517241
FRA,2.458286733,46.58490188,France,Temperate,Holarctic,4396,999,3397,0.227252047
FRG,-53.2412441,3.923694465,French Guiana,Tropical,Neotropical,4791,899,3892,0.187643498
GAB,11.79726431,-0.59052097,Gabon,Tropical,African,4878,588,4290,0.120541205
GAL,-90.89334677,-0.562241414,Galápagos,Tropical,Neotropical,476,84,392,0.176470588
GAM,-15.38587896,13.45429747,"Gambia, The",Arid,African,788,112,676,0.14213198
GEO,-83.43637167,32.64284375,Georgia,Temperate,Holarctic,2818,489,2329,0.173527324
GER,10.37222974,51.05363256,Germany,Temperate,Holarctic,2536,628,1908,0.247634069
GGI,7.97460409,2.368574768,Gulf of Guinea Is.,Tropical,African,1689,285,1404,0.168738899
GHA,-1.207225705,7.953868267,Ghana,Tropical,African,3000,393,2607,0.131
GIL,174.3217107,-0.075945877,Gilbert Is.,Tropical,Indo-Malesian,91,16,75,0.175824176
GNB,-14.98785695,12.01649928,Guinea-Bissau,Tropical,African,1409,186,1223,0.132008517
GNL,-41.80673425,73.10455617,Greenland,Polar,Holarctic,436,154,282,0.353211009
GRB,-2.556496267,54.0080402,Great Britain,Temperate,Holarctic,1520,357,1163,0.234868421
GRC,22.66083741,39.34943683,Greece,Temperate,Holarctic,4856,957,3899,0.197075783
GST,53.87769764,24.12406932,Gulf States,Arid,Saharo-Arabian,716,87,629,0.12150838
GUA,-90.35946059,15.69831384,Guatemala,Tropical,Neotropical,7474,1686,5788,0.225582018
GUI,-10.93550749,10.43969957,Guinea,Tropical,African,3360,446,2914,0.132738095
GUY,-58.97207431,4.788235729,Guyana,Tropical,Neotropical,5787,1024,4763,0.176948332
HAI,-72.6852634,18.93849265,Haiti,Tropical,Neotropical,3316,823,2493,0.248190591
HAW,-156.36393,20.27478214,Hawaii,Temperate,Holarctic,991,176,815,0.177598385
HBI,-176.5780382,0.605021388,Howland-Baker Is.,Tropical,Neovozealandic,11,0,11,0
HMD,73.49713158,-53.09066657,Heard-McDonald Is.,Polar,African,11,3,8,0.272727273
HON,-86.62254272,14.81810812,Honduras,Tropical,Neotropical,5954,1270,4684,0.213301982
HUN,19.39693698,47.16961843,Hungary,Temperate,Holarctic,2075,416,1659,0.200481928
ICE,-18.61043476,64.99990569,Iceland,Polar,Holarctic,405,117,288,0.288888889
IDA,-114.6090036,44.36000503,Idaho,Arid,Holarctic,2262,466,1796,0.206012378
ILL,-89.15613806,40.09723736,Illinois,Cold,Holarctic,2075,420,1655,0.202409639
IND,78.38975238,21.62135365,India,Tropical,Indo-Malesian,7420,1238,6182,0.166846361
INI,-86.29106439,39.89959786,Indiana,Cold,Holarctic,1836,376,1460,0.204793028
IOW,-93.49211256,42.07928922,Iowa,Cold,Holarctic,1454,293,1161,0.201513067
IRE,-7.917017618,53.41020329,Ireland,Temperate,Holarctic,882,180,702,0.204081633
IRK,106.0046535,57.0062868,Irkutsk,Cold,Holarctic,1580,422,1158,0.267088608
IRN,54.4676698,32.51656032,Iran,Arid,Saharo-Arabian,7956,2229,5727,0.280165913
IRQ,43.80246011,33.01834049,Iraq,Arid,Saharo-Arabian,3028,517,2511,0.170739762
ITA,12.30682692,43.48194032,Italy,Temperate,Holarctic,4993,1100,3893,0.220308432
IVO,-5.555365669,7.629155707,Ivory Coast,Tropical,African,3606,501,3105,0.138935108
JAM,-77.31931553,18.15182428,Jamaica,Tropical,Neotropical,2485,615,1870,0.247484909
JAP,137.6682298,37.47459144,Japan,Temperate,Holarctic,4193,858,3335,0.204626759
JAW,110.0723153,-7.294528536,Jawa,Tropical,Indo-Malesian,4777,878,3899,0.183797362
JNF,-79.53648656,-33.66589204,Juan Fernández Is.,Temperate,Chile-Patagonian,188,29,159,0.154255319
KAM,162.2446871,58.64369876,Kamchatka,Cold,Holarctic,1015,306,709,0.301477833
KAN,-98.36767289,38.49235553,Kansas,Cold,Holarctic,1653,287,1366,0.173623714
KAZ,67.25443695,48.36533528,Kazakhstan,Arid,Holarctic,5094,1346,3748,0.26423243
KEG,69.47850822,-49.28873742,Kerguelen,Polar,African,24,10,14,0.416666667
KEN,37.85790606,0.529518076,Kenya,Arid,African,6072,1101,4971,0.181324111
KER,-177.9151234,-29.28137533,Kermadec Is.,Temperate,Neovozealandic,80,13,67,0.1625
KGZ,74.52265858,41.47701985,Kirgizistan,Polar,Holarctic,3757,942,2815,0.250731967
KHA,136.756867,54.16903224,Khabarovsk,Cold,Holarctic,1724,397,1327,0.230278422
KOR,127.4575164,38.45042281,Korea,Cold,Holarctic,2823,610,2213,0.216082182
KRA,95.13864686,65.62977956,Krasnoyarsk,Cold,Holarctic,2004,551,1453,0.2749501
KRI,24.94877886,35.246535,Kriti,Temperate,Holarctic,1853,271,1582,0.146249325
KRY,34.32620678,45.27569294,Krym,Arid,Holarctic,2090,360,1730,0.172248804
KTY,-85.29895433,37.53590925,Kentucky,Temperate,Holarctic,1950,374,1576,0.191794872
KUR,150.4362807,46.88821435,Kuril Is.,Cold,Holarctic,1020,265,755,0.259803922
KUW,47.59424704,29.3415494,Kuwait,Arid,Saharo-Arabian,356,33,323,0.092696629
KZN,141.3086739,24.93834927,Kazan-retto,Tropical,Holarctic,126,26,100,0.206349206
LAB,-61.89240402,54.23753975,Labrador,Cold,Holarctic,623,196,427,0.314606742
LAO,103.8006337,18.48765034,Laos,Temperate,Indo-Malesian,4787,762,4025,0.159181116
LBR,-9.305599663,6.447240228,Liberia,Tropical,African,2543,328,2215,0.128981518
LBS,38.34946963,34.95186635,Lebanon-Syria,Arid,Saharo-Arabian,3766,647,3119,0.171800319
LBY,18.08082821,27.03060381,Libya,Arid,Saharo-Arabian,1775,214,1561,0.12056338
LDV,72.88475961,9.902630449,Laccadive Is.,Tropical,Indo-Malesian,179,29,150,0.162011173
LEE,-62.28134892,16.92041675,Leeward Is. AB Ant,Tropical,Neotropical,1758,375,1383,0.21331058
LES,28.24456888,-29.5800342,Lesotho,Temperate,African,1555,280,1275,0.180064309
LIN,-157.2390568,0.851355695,Line Is.,Tropical,Neovozealandic,45,8,37,0.177777778
LOU,-92.00731867,31.06874542,Louisiana,Temperate,Holarctic,2213,348,1865,0.157252598
LSI,123.0899672,-8.66592984,Lesser Sunda Is.,Tropical,Indo-Malesian,2664,443,2221,0.166291291
MAG,164.7779479,65.32946245,Magadan,Cold,Holarctic,1119,373,746,0.333333333
MAI,-69.23983717,45.38366825,Maine,Cold,Holarctic,1422,320,1102,0.225035162
MAN,-97.48709899,54.73969683,Manitoba,Cold,Holarctic,1242,324,918,0.260869565
MAQ,158.8922634,-54.61317505,Macquarie Is.,Polar,Neovozealandic,36,9,27,0.25
MAS,-71.80508447,42.26041547,Massachusetts,Cold,Holarctic,1624,329,1295,0.202586207
MAU,57.55438825,-20.19187695,Mauritius,Tropical,African,761,189,572,0.248357424
