"","Genus","Status","1997","1997rank","Frodin","FrodinRank","POWO2023","POWOChange","POWORank","WFO2024","WFOChange","WFORank","New","Lost","NewAcceptedNames","increase_since_2k","Unknown","tax.nov.","comb.nov.","Nom.Nov.","Stat.Nov.","Comb.etStat.Nov.","Nom.etStat.Nov.","V24","Divcentre","Divcentre2","Divcentre_new","temperate","ww","WFO2024 >= 500"
"1","Acacia","",1200,7,1353,8,1084,-269,26,1234,-119,22,FALSE,FALSE,131,0.106158833,1,118,1,6,0,3,2,NA,"U","","B","tr","au",TRUE
"2","Alchemilla","NewSinceFrodin",NA,NA,NA,NA,774,NA,38,734,NA,43,TRUE,FALSE,19,0.025885559,0,15,2,2,0,0,0,NA,"B","A","","te","te",TRUE
"3","Allium","",690,29,815,26,1063,248,27,970,155,30,FALSE,FALSE,171,0.17628866,1,155,5,0,0,9,1,NA,"A","B","","te","te",TRUE
"4","Aloe","NewSinceFrodin",NA,NA,NA,NA,587,NA,68,623,NA,65,TRUE,FALSE,187,0.300160514,1,176,2,3,0,4,1,NA,"B","","","tr","a",TRUE
"5","Anthurium","",700,24,789,29,1319,530,18,1346,557,17,FALSE,FALSE,641,0.476225854,13,614,2,2,3,3,4,NA,"B","","","tr","am",TRUE
"6","Ardisia","",250,NA,1046,15,734,-312,41,721,-325,47,FALSE,FALSE,58,0.080443828,1,55,0,0,0,1,1,NA,"AB","","","tr","tr",TRUE
"7","Aristolochia","NewSinceFrodin",NA,NA,NA,NA,540,NA,79,524,NA,82,TRUE,FALSE,62,0.118320611,0,43,12,5,1,1,0,NA,"AB","","","tr","tr",TRUE
"8","Artemisia","NewSinceFrodin",NA,NA,NA,NA,NA,NA,NA,523,NA,83,TRUE,FALSE,13,0.024856597,0,5,4,3,1,0,0,NA,"A","B","","te","te",TRUE
"9","Astragalus","",1750,4,3270,1,3066,-204,2,3239,-31,1,FALSE,FALSE,527,0.162704538,3,490,7,13,1,8,5,NA,"B","A","","te","ww",TRUE
"10","Begonia","",900,13,1484,6,2045,561,7,2144,660,8,FALSE,FALSE,813,0.379197761,23,771,6,8,3,1,1,NA,"AB","","","tr","tr",TRUE
"11","Berberis","",500,46,556,51,621,65,61,628,72,63,FALSE,FALSE,17,0.027070064,0,14,1,2,0,0,0,NA,"B","A","","te","te",TRUE
"12","Bulbophyllum","",1000,9,2032,2,2168,136,5,2190,158,5,FALSE,FALSE,551,0.251598174,4,430,54,63,0,0,0,NA,"A","B","","tr","tr",TRUE
"13","Carex","",2000,2,1795,5,2061,266,6,2328,533,4,FALSE,FALSE,335,0.143900344,4,179,73,66,3,7,3,NA,"AB","","","te","ww",TRUE
"14","Centaurea","",500,43,695,36,762,67,40,793,98,37,FALSE,FALSE,42,0.05296343,0,16,9,10,0,5,2,NA,"B","A","","te","te",TRUE
"15","Coelogyne","NewSinceFrodin",NA,NA,NA,NA,594,NA,67,595,NA,71,TRUE,FALSE,383,0.643697479,6,33,289,52,0,2,1,NA,"B","","","tr","ap",TRUE
"16","Corydalis","NewSinceFrodin",NA,NA,NA,NA,537,NA,81,528,NA,81,TRUE,FALSE,80,0.151515152,0,71,0,2,4,0,3,NA,"B","","","te","at",TRUE
"17","Cousinia","",500,45,655,41,665,10,51,709,54,49,FALSE,FALSE,26,0.036671368,0,25,1,0,0,0,0,NA,"B","","","te","te",TRUE
"18","Crotalaria","",600,38,699,35,712,13,44,760,61,41,FALSE,FALSE,26,0.034210526,0,24,0,1,0,0,1,NA,"B","A","","tr","tr",TRUE
"19","Croton","",750,21,1223,11,1150,-73,23,1178,-45,25,FALSE,FALSE,135,0.114601019,0,123,6,5,0,1,0,NA,"A","B","","tr","tr",TRUE
"20","Cyperus","",300,NA,839,24,951,112,29,961,122,31,FALSE,FALSE,170,0.176899063,0,56,75,36,0,3,0,NA,"AB","","","tr","ww",TRUE
"21","Cyrtandra","",550,42,622,44,681,59,47,749,127,42,FALSE,FALSE,74,0.098798398,1,73,0,0,0,0,0,NA,"B","","","tr","ap",TRUE
"22","Delphinium","NewSinceFrodin",NA,NA,NA,NA,522,NA,83,503,NA,86,TRUE,FALSE,37,0.073558648,0,23,11,1,0,1,1,NA,"B","","","te","at",TRUE
"23","Dendrobium","",900,15,1371,7,1606,235,13,1647,276,14,FALSE,FALSE,339,0.20582878,3,262,41,30,1,0,2,NA,"B","","","tr","ap",TRUE
"24","Dioscorea","",850,19,631,43,633,2,59,649,18,61,FALSE,FALSE,53,0.081664099,0,31,14,8,0,0,0,NA,"AB","","","tr","tr",TRUE
"25","Diospyros","",475,NA,767,30,778,11,37,787,20,38,FALSE,FALSE,141,0.179161372,3,107,18,9,0,4,0,NA,"AB","","","tr","tr",TRUE
"26","Elatostema","NewSinceFrodin",NA,NA,NA,NA,649,NA,57,652,NA,59,TRUE,FALSE,157,0.240797546,0,138,11,6,1,1,0,NA,"B","","","tr","ap",TRUE
"27","Epidendrum","",800,20,800,27,1830,1030,10,1872,1072,10,FALSE,FALSE,846,0.451923077,29,787,15,7,0,5,3,NA,"B","","","tr","am",TRUE
"28","Erica","",735,23,860,22,839,-21,35,853,-7,35,FALSE,FALSE,129,0.15123095,14,54,28,33,0,0,0,NA,"B","","","te","te",TRUE
